Período Ocorrência,Cidade,Descrição Local,Rubrica,Cidade Veículo,Cor Veículo,Ano Modelo,Tipo Veículo,Modelo Veículo,Marca Veículo,contagem_descricaolocal,contagem_modelo_veic
PELA MANHÃ,ITAPECERICA DA SERRA,Via Pública,Furto (art. 155) - VEICULO,ITAPECERICA DA SERRA,Verde,0,AUTOMOVEL,GOL CL,VW,6309,103
PELA MANHÃ,OSASCO,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Cinza,1988,CAMINHÃO,VW 7.90 S,VW,22353,1
A TARDE,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,S.ANDRE,Preta,2022,MOTOCICLO,FZ25 FAZER,YAMAHA,22353,205
PELA MANHÃ,OSASCO,Via Pública,Furto (art. 155) - VEICULO,OSASCO,Azul,0,MOTOCICLO,CG 160 FAN,HONDA,6309,1278
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Prata,0,AUTOMOVEL,UNO VIVACE 1.0,FIAT,6309,124
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Prata,0,AUTOMOVEL,PALIO ATTRACTIV 1.0,FIAT,6309,96
A TARDE,OSASCO,Via Pública,Furto (art. 155) - VEICULO,OSASCO,Branco,0,AUTOMOVEL,ONIX 10MT JOYE,CHEVROLET,6309,211
A TARDE,GUARULHOS,Estacionamento público,Furto (art. 155) - VEICULO,GUARULHOS,Vermelho,0,AUTOMOVEL,CORSA WIND,GM,962,785
A NOITE,MOGI DAS CRUZES,Via Pública,Furto (art. 155) - VEICULO,ARUJÁ,Prata,0,AUTOMOVEL,SIENA ATTRACTIV 1.4,FIAT,6309,87
A NOITE,MAUA,Via Pública,Furto (art. 155) - VEICULO,MAUÁ,Azul,0,MOTOCICLO,CG 160 FAN,HONDA,6309,1278
A NOITE,TABOAO DA SERRA,Via Pública,Furto (art. 155) - VEICULO,TABOÃO DA SERRA,Cinza,0,AUTOMOVEL,FIAT UNO MILLE SX,IMP,6309,15
PELA MANHÃ,MAUA,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Verde,0,AUTOMOVEL,UNO CS IE,FIAT,6309,16
PELA MANHÃ,OSASCO,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Prata,2013,CAMINHONETE,VW AMAROK CD 4X4 S,I,22353,2
A NOITE,RIBEIRAO PIRES,Via pública,Furto (art. 155) - VEICULO,RIBEIRAO PIRES,Azul,1998,AUTOMOVEL,FIESTA,FORD,22353,41
